Symbol,Last,Volume,Time,%Chg,"Market Cap","P/E ttm","52W %Chg"
HON,205.22,2376100,2021-12-23,+1.67%,141278160000,25.14,-2.27%
HPE,15.76,6735600,2021-12-23,+1.35%,20384614000,6.07,+34.13%
HPQ,37.65,6620800,2021-12-23,+0.99%,40764524000,9.84,+55.51%
HRL,47.77,1327600,2021-12-23,+0.15%,25918570000,27.57,+0.91%
HSIC,74.93,380100,2021-12-23,+0.81%,10390842000,16.7,+12.78%
HST,17.35,5459900,2021-12-23,+0.81%,12388508000,55.52,+23.58%
HSY,188.46,292100,2021-12-23,-0.22%,38823512000,27.06,+26.10%
HUM,460.54,352500,2021-12-23,+0.99%,59195048000,26.68,+13.69%
HWM,31.13,2557600,2021-12-23,+2.74%,13299295000,32.93,+12.10%
IBM,130.63,3649000,2021-12-23,+0.68%,117086288000,14.93,+5.43%
ICE,135.84,1212200,2021-12-23,+0.44%,76532792000,27.43,+21.09%
IDXX,645.02,266100,2021-12-23,+0.78%,54693820000,73.31,+30.66%
IEX,230.64,355900,2021-12-23,+0.69%,17535788000,37.43,+18.39%
IFF,143.09,627000,2021-12-23,+0.61%,36423128000,24.15,+29.46%
ILMN,382.29,370100,2021-12-23,+0.92%,59751928000,58.91,+4.30%
INCY,73.47,1082100,2021-12-23,+0.14%,16228862000,25.48,-16.44%
INFO,132.9,1449100,2021-12-23,+0.11%,53005964000,50.86,+55.26%
INTC,51.31,25198201,2021-12-23,+0.67%,208677776000,8.64,+10.18%
INTU,635.71,759800,2021-12-23,+0.64%,180012096000,80.98,+68.66%
IP,45.84,2403500,2021-12-23,+1.26%,17752136000,11.55,-7.49%
IPG,36.85,1893900,2021-12-23,+0.44%,14509871000,13.9,+56.68%
IPGP,168.9,111100,2021-12-23,+0.89%,9003888000,33.15,-23.28%
IQV,278.01,500400,2021-12-23,+0.45%,53111032000,34.55,+58.37%
IR,59.74,1140100,2021-12-23,+1.70%,24349128000,38.64,+30.55%
IRM,51.3,1200500,2021-12-23,-0.64%,14853864000,16.98,+74.08%
ISRG,363.94,1022600,2021-12-23,+0.48%,130012832000,78.17,+34.85%
IT,325.53,232000,2021-12-23,+0.27%,26771258000,41.31,+107.29%
ITW,240.5,614800,2021-12-23,+1.16%,75488384000,28.51,+19.07%
IVZ,23.34,2849200,2021-12-23,+2.37%,10764571000,7.73,+32.99%
J,137.35,365700,2021-12-23,+2.05%,17780372000,21.4,+28.54%
JBHT,197.23,335500,2021-12-23,+1.23%,20711908000,30.93,+42.47%
JCI,78.11,1772300,2021-12-23,+0.57%,55015368000,29.2,+70.10%
JKHY,165.43,313800,2021-12-23,-0.24%,12248602000,38.48,+6.09%
JNJ,168.25,3501400,2021-12-23,+0.19%,442934432000,17.62,+10.73%
JNPR,34.13,2111400,2021-12-23,+0.86%,11098428000,28.2,+52.78%
JPM,157.26,8055100,2021-12-23,+0.36%,464745120000,9.91,+25.74%
K,62.87,1236200,2021-12-23,+0.14%,21446402000,14.95,+2.05%
KEY,22.74,4851300,2021-12-23,+0.35%,21172258000,8.92,+39.25%
KEYS,201.43,636700,2021-12-23,+0.41%,36870152000,34.95,+54.45%
KHC,35.25,3735600,2021-12-23,+0.40%,43147480000,11.9,+1.29%
KIM,23.69,2289400,2021-12-23,+0.59%,14603179000,18.12,+64.63%
KLAC,420.76,877900,2021-12-23,+1.83%,63796472000,25.57,+66.45%
KMB,138.89,1115500,2021-12-23,-0.24%,46766624000,21.16,+4.04%
KMI,15.64,8153500,2021-12-23,+0.45%,35462544000,11.8,+13.09%
KMX,126.31,1909900,2021-12-23,-1.22%,20476494000,17.88,+35.55%
KO,58.22,11027300,2021-12-23,+0.07%,251476640000,24.76,+9.68%
KR,43.21,4115600,2021-12-23,-0.71%,31770410000,12.16,+37.66%
L,57.02,460700,2021-12-23,+0.46%,14465062000,12.73,+29.30%
LDOS,87.35,708700,2021-12-23,+1.09%,12258611000,12.94,-16.50%
LEN,112.05,1446900,2021-12-23,-0.27%,34676448000,8.9,+42.61%
LH,301.91,1201700,2021-12-23,-0.76%,28892784000,9.42,+47.95%
LHX,208.26,1001300,2021-12-23,+0.73%,40865816000,16.17,+12.06%
LIN,339.17,1151800,2021-12-23,+1.14%,173843280000,32.81,+32.96%
LKQ,57.73,1163100,2021-12-23,+0.79%,16827776000,15.15,+59.26%
LLY,273.1,2632200,2021-12-23,+2.48%,261245280000,31.61,+65.04%
LMT,347.02,1061200,2021-12-23,+1.13%,95703264000,12.84,-1.30%
LNC,67.87,863400,2021-12-23,+2.37%,12264719000,7.9,+35.88%
LNT,59.55,609600,2021-12-23,-0.05%,14902864000,23.74,+20.21%
LOW,250.09,2060400,2021-12-23,+0.16%,168497376000,21.68,+53.97%
LRCX,698.72,867400,2021-12-23,+1.09%,98379072000,23.06,+48.31%
LUMN,12.84,3979900,2021-12-23,+0.63%,13146799000,6.75,+29.70%
LUV,41.87,6587800,2021-12-23,+1.82%,24783690000,0,-10.44%
LVS,38.59,12964000,2021-12-23,+4.21%,29482376000,0,-32.52%
LW,61.75,765000,2021-12-23,+1.31%,9019699000,34.83,-21.44%
LYB,90.55,2118200,2021-12-23,+2.87%,30133592000,5.25,-0.09%
LYV,118.54,1800000,2021-12-23,+1.39%,26631198000,0,+65.49%
MA,360.58,2626900,2021-12-23,+0.87%,354290400000,46.43,+9.52%
MAA,221.09,253700,2021-12-23,-0.50%,25455860000,32.87,+80.25%
MAR,165.19,1528800,2021-12-23,+1.61%,53799580000,81.29,+28.44%
MAS,68,840500,2021-12-23,+0.82%,16597916000,17.89,+20.93%
MCD,265.95,1509800,2021-12-23,+0.38%,198729824000,30.28,+25.44%
MCHP,86.93,2193700,2021-12-23,+0.65%,48234936000,25.4,+27.84%
MCK,240.78,639400,2021-12-23,+1.82%,36762772000,11.07,+41.58%
MCO,397.26,304400,2021-12-23,+0.58%,73850632000,33.25,+44.09%
MDLZ,64.94,3943200,2021-12-23,+0.17%,90589488000,23.07,+13.23%
MDT,102.9,7255500,2021-12-23,+1.54%,138355024000,18.36,-9.69%
MET,61.78,3307200,2021-12-23,+1.48%,51966860000,6.77,+33.93%
MGM,45.74,3728900,2021-12-23,+1.02%,21450230000,0,+47.64%
MHK,171.16,317100,2021-12-23,+1.13%,11593010000,10.97,+24.80%
MKC,93.03,692600,2021-12-23,-0.39%,24868592000,31.13,+0.05%
MKTX,410.67,163800,2021-12-23,+0.40%,15616139000,55.95,-28.33%
MLM,437.06,163200,2021-12-23,+0.31%,27264672000,36.22,+59.63%
MMC,170.57,1309400,2021-12-23,+0.05%,86119936000,28.37,+50.03%
MMM,174.97,1955700,2021-12-23,+1.35%,101244288000,16.94,+0.56%
MNST,93.84,1222200,2021-12-23,+0.39%,49654400000,36.09,+5.51%
MO,46.7,7530500,2021-12-23,-0.38%,85787392000,10.39,+8.93%
MOS,39.18,3864100,2021-12-23,+1.19%,14846986000,10.58,+77.37%
MPC,63.04,4658200,2021-12-23,-0.10%,38806672000,242.69,+52.60%
MPWR,495.6,236000,2021-12-23,+0.57%,22843688000,112.77,+40.04%
MRK,75.73,9894800,2021-12-23,-0.56%,191289760000,13.18,-5.05%
MRNA,249.99,9839101,2021-12-23,-0.55%,101358448000,15.41,+91.80%
MRO,16,10042600,2021-12-23,-0.25%,12456591000,22.91,+134.95%
MS,99.34,4482400,2021-12-23,+1.06%,178256880000,12.18,+45.64%
MSCI,611.27,183700,2021-12-23,+1.17%,50397376000,64.27,+42.61%
MSFT,334.69,19617799,2021-12-23,+0.45%,2512845760000,39.57,+51.43%
MSI,262.9,565800,2021-12-23,-0.64%,44403020000,30.77,+55.92%
MTB,150.95,481000,2021-12-23,+0.29%,19425000000,10.63,+20.17%
MTCH,133.44,1390500,2021-12-23,+1.56%,37774864000,67.73,-13.01%
MTD,1626.23,69300,2021-12-23,+1.33%,37380524000,49.17,+44.41%
MU,94.42,36400102,2021-12-23,+4.52%,105766448000,12.64,+34.98%
NCLH,22.72,17668700,2021-12-23,+0.44%,8407149000,0,-7.27%
NDAQ,205.42,593600,2021-12-23,+0.60%,34350744000,28.2,+60.55%
NEE,90.7,5845600,2021-12-23,-0.11%,177965824000,35.89,+22.02%
