Symbol,Last,Volume,Time,%Chg,"Market Cap","P/E ttm","52W %Chg"
ATLC,67.76,68100,2021-12-23,+2.87%,1022769000,9.19,+156.57%
ATNI,40.92,21700,2021-12-23,+0.17%,647518000,0,-7.17%
ATNX,1.53,642100,2021-12-23,+2.00%,167258000,0,-86.78%
ATOM,21.27,121400,2021-12-23,+0.95%,492571000,0,+56.05%
ATOS,1.8,3494800,2021-12-23,-2.17%,227923000,0,+100.96%
ATRA,17.31,679800,2021-12-23,+5.87%,1530498000,0,-22.93%
ATRC,73.36,139300,2021-12-23,+2.67%,3369571000,0,+27.87%
ATRI,659.47,3500,2021-12-23,+1.43%,1187501000,36.73,+5.01%
ATRO,11.7,161900,2021-12-23,+1.21%,368082000,0,-10.62%
ATRS,3.56,414200,2021-12-23,+2.01%,605350000,31.73,-5.82%
ATSG,29.1,146900,2021-12-23,+0.38%,2159191000,19.07,-6.34%
AUB,37.44,156200,2021-12-23,+0.89%,2832448000,9.92,+14.43%
AUD,2.58,474300,2021-12-23,+0.39%,364982000,0,+11.69%
AVA,41.3,230700,2021-12-23,+0.17%,2922718000,18.41,+4.08%
AVAH,7.07,261100,2021-12-23,+1.00%,1302040000,0,N/A
AVAV,63.75,174700,2021-12-23,+1.84%,1581828000,34.97,-29.14%
AVD,15.35,240600,2021-12-23,0.00%,474837000,21.62,-1.60%
AVID,31.87,184800,2021-12-23,-0.87%,1434851000,36.95,+130.94%
AVIR,9.11,1219400,2021-12-23,-0.22%,757068000,0,-73.66%
AVNS,33.89,273100,2021-12-23,+1.44%,1633057000,34.44,-26.66%
AVNT,54.76,188200,2021-12-23,+0.64%,5010047000,18.26,+35.68%
AVNW,31.68,97600,2021-12-23,+1.31%,354246000,13.31,+80.72%
AVO,15.82,468900,2021-12-23,-8.50%,1117034000,23.68,+9.10%
AVRO,3.91,125900,2021-12-23,+2.36%,170679000,0,-74.00%
AVTE,10.38,14100,2021-12-23,+2.98%,253376000,0,N/A
AVTX,1.86,277100,2021-12-23,+1.64%,208911000,0,-32.36%
AVXL,19.5,615400,2021-12-23,+0.88%,1482351000,0,+233.33%
AVYA,19.93,794200,2021-12-23,+1.48%,1676432000,7.27,+3.59%
AWH,1.89,852000,2021-12-23,+1.61%,211920000,0,-70.28%
AWR,100.35,62700,2021-12-23,-0.96%,3706125000,39.89,+29.65%
AX,55.05,131100,2021-12-23,+1.72%,3275200000,14.2,+47.15%
AXDX,5.13,262300,2021-12-23,-1.16%,315490000,0,-33.12%
AXGN,9.82,184100,2021-12-23,-0.81%,408149000,0,-44.99%
AXL,9.34,761500,2021-12-23,+3.66%,1065330000,5.93,+12.12%
AXNX,56.81,452300,2021-12-23,+1.12%,2630133000,0,+18.35%
AXSM,38.45,451100,2021-12-23,+1.99%,1449258000,0,-54.49%
AXTI,8.8,253200,2021-12-23,+3.04%,376385000,26.69,-16.11%
AZZ,54.3,53700,2021-12-23,+0.52%,1348812000,17.65,+14.61%
B,46.27,103200,2021-12-23,+0.85%,2342511000,26.37,-8.34%
BALY,37.51,403300,2021-12-23,+0.64%,2039156000,30.06,-23.67%
BANC,19.53,125500,2021-12-23,+0.15%,1223691000,15,+30.46%
BAND,72.93,563700,2021-12-23,-0.03%,1833023000,135.09,-58.58%
BANF,69.1,32200,2021-12-23,+0.67%,2250725000,13.89,+18.59%
BANR,61.12,138700,2021-12-23,+4.25%,2093482000,10.58,+34.71%
BASE,23.14,378700,2021-12-23,-1.20%,1008788000,0,N/A
BATRA,28.71,37700,2021-12-23,+1.09%,296086000,0,+13.57%
BATRK,28.21,55100,2021-12-23,+1.18%,1155848000,0,+12.70%
BBBY,15.98,3350700,2021-12-23,+2.24%,1614939000,27.42,-15.36%
BBCP,8.22,37400,2021-12-23,+0.86%,465203000,407.5,+132.86%
BBIO,40.62,674200,2021-12-23,+5.84%,5978939000,0,-41.21%
BBSI,69.37,16500,2021-12-23,-0.84%,520614000,15.44,-1.76%
BCAB,20.06,315900,2021-12-23,+2.87%,738930000,0,-37.89%
BCC,68.41,184300,2021-12-23,+0.56%,2690634000,4.4,+39.19%
BCEL,3.18,514700,2021-12-23,+3.92%,118140000,0,-79.86%
BCO,64.73,215600,2021-12-23,+2.18%,3181738000,13.25,-8.95%
BCOR,17.47,141200,2021-12-23,+0.29%,851121000,11.31,+19.66%
BCOV,10.01,222700,2021-12-23,+1.21%,411321000,43,-42.07%
BCPC,164.21,154200,2021-12-23,-0.42%,5317446000,46.45,+45.16%
BCRX,13.92,1908600,2021-12-23,+0.58%,2489870000,0,+84.25%
BDC,63.72,134900,2021-12-23,+1.32%,2860900000,14.42,+53.91%
BDN,13.52,578200,2021-12-23,+0.45%,2313624000,9.75,+15.06%
BDSI,3.22,1189400,2021-12-23,-0.31%,318123000,10.42,-25.46%
BDSX,4.6,110200,2021-12-23,+9.00%,124297000,0,-76.54%
BDTX,5.59,167400,2021-12-23,+2.76%,202520000,0,-83.46%
BE,22,2327700,2021-12-23,+1.76%,3860230000,0,-28.08%
BEAM,86.5,293600,2021-12-23,+0.90%,5893765000,0,-4.58%
BECN,56.29,268600,2021-12-23,+1.83%,3946660000,12.95,+40.27%
BEEM,21.9,581700,2021-12-23,+4.39%,195989000,0,-58.44%
BFC,70.51,11700,2021-12-23,-2.44%,540508000,12.17,+2.56%
BFLY,7.39,1971100,2021-12-23,+3.50%,1433313000,0,-63.05%
BFS,51.99,25800,2021-12-23,-0.48%,1232163000,17.41,+61.41%
BFST,28.13,14800,2021-12-23,+1.33%,573542000,10.21,+39.05%
BGCP,4.62,1019100,2021-12-23,+0.87%,1703579000,7.51,+13.24%
BGFV,18.66,764600,2021-12-23,+1.86%,416323000,4.08,+60.31%
BGS,31.23,383800,2021-12-23,+1.46%,2026734000,16.82,+1.07%
BH,145,2600,2021-12-23,-0.47%,329948000,0.64,+22.07%
BHB,29.24,16300,2021-12-23,+1.07%,438220000,10.88,+31.47%
BHE,26.43,141800,2021-12-23,+1.58%,930970000,21.5,-1.34%
BHG,3.76,9736100,2021-12-23,+7.12%,2362465000,0,N/A
BHLB,28.37,105500,2021-12-23,+0.07%,1380456000,18.06,+60.83%
BHR,4.95,264100,2021-12-23,0.00%,319290000,12.38,+15.12%
BHVN,135.99,566100,2021-12-23,+0.69%,8907480000,0,+49.06%
BIG,42.24,819800,2021-12-23,-2.11%,1290010000,7,-5.71%
BIGC,38.51,906200,2021-12-23,-0.85%,2758048000,0,-46.91%
BIPC,67.26,154400,2021-12-23,+1.19%,4932646000,0,-7.64%
BJ,64.26,557700,2021-12-23,+0.20%,8737111000,20.36,+68.75%
BJRI,36.13,321200,2021-12-23,+0.39%,841974000,0,-8.81%
BKD,5.17,3832700,2021-12-23,+0.78%,958022000,0,+18.31%
BKE,40.87,447600,2021-12-23,-0.51%,2034631000,8.58,+36.37%
BKH,68.69,158000,2021-12-23,-0.39%,4360441000,17.82,+15.50%
BKU,41.89,448400,2021-12-23,+0.41%,3732022000,10.43,+21.42%
BL,103.92,251100,2021-12-23,-0.61%,6095427000,0,-24.38%
BLBD,14.74,135100,2021-12-23,-0.54%,402107000,98.8,-21.97%
BLFS,40.86,258500,2021-12-23,+3.71%,1663002000,0,-8.49%
BLFY,14.55,55100,2021-12-23,-1.02%,414995000,0,N/A
BLI,19.09,1003200,2021-12-23,-6.15%,1288098000,0,-81.55%
BLKB,81.64,92900,2021-12-23,+0.67%,3933170000,72.41,+37.86%
BLMN,20.95,1529400,2021-12-23,+1.80%,1869767000,9.71,+10.79%
BLNK,28.52,1349300,2021-12-23,+2.70%,1203544000,0,-34.84%
BLUE,11.4,1852000,2021-12-23,+2.52%,799220000,0,-75.22%
BLX,17,80900,2021-12-23,+0.29%,674526000,11.38,+11.04%
BMEA,7.81,55500,2021-12-23,+2.76%,226841000,0,N/A
BMI,105.19,74800,2021-12-23,-0.34%,3076808000,54.41,+12.82%
BMRC,36.62,22600,2021-12-23,+0.91%,586396000,14.07,-0.73%
BMTC,45.43,100500,2021-12-23,+0.20%,904102000,12.59,+49.69%
BNED,6.69,305400,2021-12-23,+0.45%,347833000,0,+35.98%
BNFT,10.73,237800,2021-12-23,+0.19%,358704000,0,-20.10%
BNGO,3.24,7893200,2021-12-23,-0.92%,936956000,0,+318.06%
BNL,24.5,361000,2021-12-23,+0.04%,3951041000,19.28,+25.58%
BOLT,4.73,212100,2021-12-23,+4.88%,176358000,0,N/A
BOMN,29.23,81000,2021-12-23,+3.47%,864507000,8.77,+14.18%
BOOM,40.82,79200,2021-12-23,+3.66%,764355000,358,-8.15%
BOOT,116.83,242800,2021-12-23,+1.04%,3459219000,27.34,+186.35%
BOX,26.78,1263600,2021-12-23,+2.21%,3971474000,0,+38.61%
